ENGINEER,PARENT,PARTNO,DESCRIPTION,QTY,VENDOR,VENDOR PARTNO,MANUFACTURER,MANUF. PARTNO,APPROX. LEAD TIME [WEEKS],COST EA.,EXT COST,NOTES,MULTIPLIER,EXTENDED_QTY,QTY ORDERED,QTY RECEIVED
unknown,RC-ASY-00103,RC-FAB-00510,"XY GUIDE, BULK WASTE MODULE, RC2",2,,,PROTOLABS,,1, $ 201.60 , $ 403.20 ,,1,6,,
unknown,RC-ASY-00103,RC-FAB-00513,"CRANK ARM, LEFT, BULK WASTE MODULE, RC2",1,,,PROTOLABS,,1, $ 274.01 , $ 274.01 ,,1,3,,
unknown,RC-ASY-00103,RC-FAB-00514,"CRANK ARM, RIGHT, BULK WASTE MODULE, RC2",1,,,PROTOLABS,,1, $ 274.01 , $ 274.01 ,,1,3,,
unknown,RC-ASY-00103,RC-FAB-00516,"OUTER CAP, BULK WASTE MODULE, RC2",1,,,PROTOLABS,,1, $ 263.39 , $ 263.39 ,,1,3,,
unknown,RC-ASY-00103,RC-FAB-00518,"UPPER CAP, BULK WASTE MODULE, RC2",1,,,PROTOLABS,,1, $ 388.73 , $ 388.73 ,,1,3,,
unknown,RC-ASY-00103,RC-FAB-00519,"HANDLE ACTUATOR, BULK WASTE MODULE, RC2",1,,,PROTOLABS,,1, $ 233.62 , $ 233.62 ,,1,3,,
unknown,RC-ASY-00103,RC-FAB-00520,"LOCKING PIN, BULK WASTE MODULE, RC2",2,,,PROTOLABS,,1, $ 228.81 , $ 457.62 ,,1,6,,
unknown,RC-ASY-00103,RC-FAB-00521,"HANDLE, BULK WASTE MODULE, RC2",1,,,PROTOLABS,,1, $ 182.02 , $ 182.02 ,,1,3,,
unknown,RC-ASY-00103,RC-FAB-00522,"TOP PLATE 1, BULK WASTE MODULE, RC2",1,,,PROTOLABS,,1, $ 279.75 , $ 279.75 ,,1,3,,
unknown,RC-ASY-00103,RC-FAB-00523,"TOP PLATE 2, BULK WASTE MODULE, RC2",1,,,PROTOLABS,,1, $ 265.17 , $ 265.17 ,,1,3,,
unknown,RC-ASY-00103,RC-FAB-00524,"LIMIT SWITCH BRKT, BULK WASTE MODULE, RC2",2,,,PROTOLABS,,1, $ 113.89 , $ 227.78 ,,1,6,,
unknown,RC-ASY-00103,RC-FAB-00525,"SPRING BLOCK, LEFT, BULK WASTE MODULE, RC2",1,,,PROTOLABS,,1, $ 160.05 , $ 160.05 ,,1,3,,
unknown,RC-ASY-00103,RC-FAB-00526,"SPRING BLOCK, RIGHT, BULK WASTE MODULE, RC2",1,,,PROTOLABS,,1, $ 160.05 , $ 160.05 ,,1,3,,
unknown,RC-ASY-00103,RC-FAB-00527,"GASKET PLATE, BULK WASTE MODULE, RC2",1,,,PROTOLABS,,1, $ 374.01 , $ 374.01 ,,1,3,,
unknown,RC-ASY-00103,RC-FAB-00528,"GASKET, BULK WASTE MODULE, RC2",1,,,READCOOR,,1,, $ -   ,,1,3,,
unknown,RC-ASY-00103,RC-FAB-00568,"HANDLE COVER, BULK WASTE MODULE, RC2",1,,,READCOOR,,1,, $ -   ,,1,3,,
unknown,RC-ASY-00103,CHEMGLASS CG-856-05,"BOTTLE, 2000mL/64OZ, HDPE, RECTANGULAR",1,CHEMGLASS,CG-856-05,,,1, $ 48.10 , $ 48.10 ,,1,3,,
unknown,RC-ASY-00103,IDEX XP-235-CP,"FITTING, 1/4-28 FLAT BOTTOM, 1/16"" TUBE, PEEK",1,IDEX,XP-235-CP,,,1, $ 4.29 , $ 4.29 ,,1,3,,
unknown,RC-ASY-00103,IGUS JFM-0405-03,"BUSHING, 4MM SHAFT DIA ",2,IGUS,JFM-0405-03,,,1, $ 1.12 , $ 2.24 ,,1,6,,
unknown,RC-ASY-00103,IGUS JFM-101215-035,"BUSHING, 10MM SHAFT, 12MM OD, 3.5MM HT ",4,IGUS,JFM-101215-035,,,1, $ 1.41 , $ 5.64 ,,1,12,,
unknown,RC-ASY-00103,LEE LC014B06S316,"COMP. SPRING, ROD 3.61MM, HOLE 4.78MM, 316 SS",2,LEE SPRING,LC014B06S316,,,1, $ 7.21 , $ 14.42 ,,1,6,,
unknown,RC-ASY-00103,LEE LC026EE13S316,"COMP. SPRING, ROD 7.85MM, HOLE 9.93MM, 316 SS",2,LEE SPRING,LC026EE13S316,,,1, $ 7.21 , $ 14.42 ,,1,6,,
unknown,RC-ASY-00103,LEE LTL063L02S,"TORSION SPRING, LEFT, ROD 9.9MM, HOLE 15MM, SS",1,LEE SPRING,LTL063L02S,,,1, $ 10.26 , $ 10.26 ,,1,3,,
unknown,RC-ASY-00103,LEE LTR063L02S,"TORSION SPRING, RIGHT, ROD 9.9MM, HOLE 15MM, SS",1,LEE SPRING,LTR063L02S,,,1, $ 10.26 , $ 10.26 ,,1,3,,
unknown,RC-ASY-00103,LEE LWM451101651S,"WAVE SPRING, ROD 35MM, HOLE 45MM, 17-7 PH",1,LEE SPRING,LWM451101651S,,,1, $ 11.23 , $ 11.23 ,,1,3,,
unknown,RC-ASY-00103,MADISON M3326,"MINI FLOAT SENSOR, 3/8"" BULKHEAD, NC",1,MCMASTER,50195K74,MADISON,M3326,1, $ 25.32 , $ 25.32 ,,1,3,,
unknown,RC-ASY-00103,MCM 91292A113,"SHCS, M3x0.5, 10mm, 18-8 SS",8,MCMASTER,91292A113,,,1, $ 0.05 , $ 0.38 ,,1,24,,
